questionsAnswered,correct_answers,timeSpent,halfCorrect,reversed,questionsSkipped,answerChanges,flaggedQuestions,label
30,6,12.65,2,2,14,5,4,très faible
22,11,12.3,2,3,17,2,0,faible
29,12,18.73,4,3,10,4,4,faible
14,2,19.22,1,0,12,3,5,très faible
29,25,10.1,1,1,18,5,1,moyen
34,16,15.27,1,0,20,6,2,faible
10,9,14.96,1,0,0,5,1,très faible
19,7,17.65,4,2,3,3,0,très faible
19,14,14.73,0,1,4,3,3,faible
39,19,14.05,0,2,9,4,1,faible
39,19,15.21,9,1,9,0,5,faible
22,9,18.64,0,1,1,2,2,faible
17,8,17.6,9,0,12,3,4,très faible
25,15,13.68,7,0,3,4,5,faible
33,24,13.72,0,3,8,3,4,moyen
29,11,15.6,3,5,14,4,3,très faible
24,14,11.17,7,1,7,0,3,faible
23,3,18.75,5,5,13,1,4,très faible
30,27,18.5,2,1,3,1,3,fort
23,23,16.42,0,0,20,0,1,faible
21,19,10.01,2,0,10,0,2,faible
36,15,13.76,5,5,16,4,1,faible
10,6,13.85,0,3,9,2,2,très faible
34,18,19.25,5,0,17,4,0,faible
12,9,11.21,2,1,16,4,1,très faible
20,7,18.87,6,5,3,3,3,très faible
38,17,13.96,0,0,6,4,3,faible
37,3,18.17,8,1,7,6,2,très faible
40,25,18.09,6,3,13,5,1,moyen
20,13,16.3,2,4,19,4,3,faible
24,7,19.73,6,2,17,5,2,très faible
36,13,17.81,2,5,17,1,4,très faible
36,24,15.45,5,4,4,5,2,moyen
21,6,12.07,6,2,17,0,1,très faible
32,3,11.54,5,0,2,1,0,très faible
30,4,12.89,6,4,5,1,0,très faible
29,12,10.2,1,0,1,1,1,faible
40,14,10.13,7,4,8,1,3,très faible
10,7,19.85,3,0,8,5,3,très faible
14,0,15.57,6,4,13,0,1,très faible
24,19,10.88,0,4,17,0,5,faible
37,4,19.31,4,2,9,4,4,très faible
19,3,13.41,8,0,5,6,1,très faible
19,1,16.26,7,1,18,4,4,très faible
12,3,18.51,6,3,1,4,5,très faible
30,9,13.14,8,1,15,3,1,très faible
27,6,12.28,2,4,0,2,3,très faible
24,13,16.86,5,3,14,6,4,faible
20,5,12.69,5,1,18,1,1,très faible
37,11,10.02,8,4,4,5,3,très faible
21,16,11.2,4,1,19,0,4,faible
28,23,15.66,3,0,14,0,1,moyen
20,14,16.91,6,0,17,5,3,faible
28,7,19.49,1,0,20,5,4,très faible
21,8,17.16,10,3,16,6,0,très faible
11,0,14.68,0,5,3,6,1,très faible
24,17,17.28,1,1,3,5,3,faible
16,11,18.88,1,3,6,4,3,très faible
16,8,18.26,7,0,12,5,3,très faible
30,25,13.27,2,2,11,0,4,moyen
33,18,10.06,9,3,4,2,3,faible
30,13,18.08,5,2,2,3,2,faible
39,6,19.18,0,2,8,4,3,très faible
28,26,14.68,1,1,10,1,4,moyen
10,10,19.17,0,0,6,4,4,très faible
19,5,18.35,5,3,8,4,3,très faible
16,6,14.65,8,1,2,1,0,très faible
29,23,10.42,5,1,17,5,1,moyen
16,1,15.12,8,5,1,3,2,très faible
14,4,18.15,0,0,3,0,4,très faible
36,35,14.7,0,1,17,4,0,très fort
29,4,14.09,1,2,1,4,2,très faible
26,20,12.88,6,0,11,2,3,moyen
22,3,17.1,3,4,6,6,2,très faible
10,7,14.94,0,0,9,2,3,très faible
17,6,14.72,10,0,2,0,4,très faible
34,2,13.31,9,1,14,0,1,très faible
16,6,19.01,2,1,20,2,1,très faible
39,19,13.31,2,2,6,0,4,faible
14,14,13.15,0,0,2,5,3,très faible
19,10,15.43,9,0,10,6,4,faible
20,5,19.25,4,0,1,1,4,très faible
37,0,14.37,0,2,12,2,3,très faible
33,21,18.81,9,3,17,5,5,moyen
13,0,19.91,4,1,5,1,5,très faible
16,8,14.67,1,4,9,6,3,très faible
39,26,14.59,8,3,19,1,3,moyen
27,20,16.57,5,1,8,0,0,moyen
24,7,11.06,5,4,18,4,1,très faible
10,9,14.19,1,0,17,3,0,très faible
37,5,18.24,9,1,20,2,2,très faible
20,2,19.23,3,4,2,5,5,très faible
40,21,12.6,5,4,6,2,0,faible
18,10,18.99,3,2,9,0,4,faible
33,19,18.38,5,1,19,4,4,faible
10,10,19.73,0,0,5,5,2,très faible
40,1,13.58,3,4,12,6,1,très faible
31,23,15.6,5,1,8,0,1,moyen
21,2,16.23,4,1,19,5,0,très faible
32,32,14.1,0,0,4,5,3,fort
30,28,10.16,1,1,0,1,5,fort
30,11,10.19,3,3,16,4,2,très faible
31,24,18.27,4,1,5,5,3,moyen
14,6,19.04,2,0,0,5,1,très faible
39,30,16.12,3,4,16,1,4,moyen
29,2,17.36,5,1,19,1,0,très faible
17,2,16.64,4,1,11,0,5,très faible
34,17,11.19,10,5,12,0,2,faible
33,11,18.74,5,2,19,3,0,très faible
18,16,15.17,1,1,3,1,0,faible
39,13,14.08,3,3,6,4,4,très faible
22,2,19.09,0,2,14,5,4,très faible
15,3,11.14,7,5,4,3,2,très faible
22,1,18.69,6,0,19,6,5,très faible
35,15,15.0,0,1,4,0,3,faible
33,32,17.89,0,1,18,6,3,fort
11,2,13.44,4,4,9,0,1,très faible
20,3,13.42,9,2,15,1,3,très faible
22,8,13.65,6,0,7,5,3,très faible
16,10,11.07,6,0,10,1,4,très faible
15,9,11.7,4,2,10,4,5,très faible
27,19,15.16,7,1,16,4,3,moyen
27,3,18.37,1,2,16,3,5,très faible
39,11,17.81,7,5,12,0,2,très faible
12,10,16.64,0,1,3,4,5,très faible
27,20,12.27,4,2,7,5,4,moyen
30,12,10.57,5,5,19,1,4,faible
10,2,13.95,2,5,10,1,5,très faible
33,27,16.79,4,1,10,4,2,moyen
36,35,17.25,1,0,7,1,0,fort
39,29,19.76,8,1,4,6,5,moyen
39,30,16.85,0,2,15,0,4,moyen
27,18,11.07,9,0,9,4,3,moyen
34,28,11.26,2,0,7,2,3,moyen
21,4,13.37,7,3,20,6,1,très faible
13,2,19.07,2,5,17,5,0,très faible
12,8,17.15,0,3,2,1,4,très faible
34,8,12.96,8,3,9,6,4,très faible
11,6,12.73,0,0,8,6,1,très faible
22,15,13.62,2,3,19,4,0,faible
19,11,14.57,3,5,8,2,4,faible
12,3,17.61,8,0,12,4,3,très faible
39,37,15.76,1,0,10,6,0,fort
28,3,11.35,5,5,14,4,0,très faible
36,29,16.23,5,2,11,6,3,moyen
11,7,12.84,2,1,13,1,3,très faible
39,5,12.71,0,1,4,3,5,très faible
31,25,12.04,3,3,13,4,4,moyen
18,17,11.63,1,0,19,1,5,faible
39,31,16.68,0,3,5,0,1,moyen
16,7,14.07,6,2,13,4,4,très faible
22,15,13.93,2,3,3,3,1,faible
27,3,10.47,6,0,20,3,0,très faible
29,18,18.69,2,0,7,6,4,moyen
13,12,15.22,0,0,19,0,3,très faible
36,11,14.7,10,5,10,6,1,très faible
25,12,13.25,0,5,2,0,2,faible
18,8,12.17,6,0,2,4,3,faible
28,7,12.6,10,4,12,3,1,très faible
29,12,10.1,1,3,1,4,2,faible
24,1,13.39,2,4,14,5,4,très faible
38,30,17.95,2,1,18,2,4,moyen
25,5,19.22,0,4,17,0,5,très faible
19,13,10.63,3,3,4,5,4,faible
22,1,12.57,6,1,15,0,4,très faible
27,18,20.0,4,2,12,6,0,moyen
26,2,15.77,7,3,13,3,4,très faible
39,37,15.52,2,0,6,1,2,fort
22,21,17.98,0,1,10,4,3,faible
11,11,14.9,0,0,10,3,2,très faible
40,24,10.98,5,1,17,0,1,moyen
38,1,17.39,1,5,12,1,5,très faible
12,11,18.81,1,0,10,3,4,très faible
18,15,17.33,0,0,8,2,0,faible
23,8,10.16,9,0,8,4,3,très faible
40,5,16.38,5,3,8,6,4,très faible
32,11,13.22,1,4,19,2,4,très faible
23,21,17.51,1,1,9,5,5,faible
25,22,16.13,0,1,12,2,4,faible
15,11,10.0,0,2,19,2,2,très faible
36,0,17.27,10,3,17,1,0,très faible
31,22,15.15,3,0,10,2,3,moyen
14,9,16.23,4,1,4,1,5,très faible
11,11,19.37,0,0,10,3,0,très faible
30,15,18.92,6,3,16,4,5,faible
10,5,10.55,1,4,15,0,1,très faible
17,16,11.05,1,0,3,4,3,très faible
23,16,19.47,0,2,19,0,2,faible
37,15,10.91,9,0,5,5,4,faible
18,2,14.96,7,5,16,5,5,très faible
21,7,10.18,9,3,5,6,5,très faible
22,20,10.17,0,2,17,4,2,faible
32,15,14.24,5,1,20,1,4,faible
24,11,16.48,0,4,2,6,3,faible
32,8,15.2,0,3,17,6,3,très faible
32,16,18.9,5,0,3,1,4,faible
15,2,14.54,0,3,20,3,2,très faible
18,9,10.04,5,3,16,0,2,faible
19,15,16.93,2,2,9,1,3,faible
28,22,10.18,2,3,20,5,0,moyen
19,17,14.03,2,0,10,4,1,faible
33,11,19.39,7,3,9,0,4,très faible
20,12,15.66,6,0,20,1,0,faible
24,21,14.72,0,1,9,2,4,faible
10,0,19.77,9,0,13,5,2,très faible
27,4,10.33,1,1,15,0,4,très faible
10,5,17.29,2,2,15,0,0,très faible
39,17,14.27,2,3,13,1,5,faible
40,16,19.89,1,0,15,6,3,faible
10,3,13.13,2,4,0,4,2,très faible
36,21,19.22,7,5,5,6,5,faible
13,12,18.31,0,0,2,2,4,très faible
10,2,17.21,4,1,0,0,3,très faible
40,14,15.39,0,4,3,6,1,très faible
30,25,20.0,4,1,12,3,5,moyen
38,13,14.25,8,1,10,3,4,très faible
11,10,19.41,1,0,4,6,3,très faible
16,4,14.11,1,4,1,0,1,très faible
38,21,12.21,6,5,17,4,3,faible
15,3,10.28,0,3,9,6,0,très faible
23,19,16.41,2,1,20,4,1,faible
36,4,15.64,7,4,12,0,5,très faible
18,7,17.17,2,1,14,5,1,très faible
18,18,17.03,0,0,12,4,3,faible
30,12,12.26,7,5,16,3,0,faible
18,13,14.2,5,0,2,1,0,faible
39,39,14.65,0,0,13,3,1,très fort
20,17,16.08,0,0,4,2,5,faible
15,8,14.29,4,3,15,3,4,très faible
38,24,11.8,7,1,20,5,3,moyen
12,3,18.11,4,3,2,4,2,très faible
16,6,16.09,3,4,20,5,1,très faible
40,33,13.01,2,1,13,1,0,moyen
18,10,14.74,4,4,5,3,5,faible
24,11,19.92,3,5,16,1,4,faible
18,3,10.03,6,2,7,4,2,très faible
23,16,18.55,2,4,14,1,0,faible
23,10,18.18,5,5,1,6,3,faible
26,12,11.61,4,1,2,3,2,faible
31,16,10.18,6,2,13,3,0,faible
18,17,16.23,0,1,18,5,1,faible
13,4,16.96,9,0,19,4,1,très faible
27,25,13.1,0,0,5,2,4,moyen
35,17,11.83,0,0,16,5,4,faible
31,8,19.34,4,0,14,5,4,très faible
33,5,19.72,4,5,14,1,1,très faible
22,12,13.14,8,1,5,6,5,faible
36,11,17.1,6,3,0,0,2,très faible
21,18,13.18,0,1,2,0,0,faible
31,7,16.81,4,3,20,2,3,très faible
39,31,14.08,4,0,18,0,1,moyen
25,13,10.96,6,2,15,0,1,faible
19,12,18.72,5,0,16,4,2,faible
23,23,17.89,0,0,20,3,1,faible
21,12,18.56,9,0,9,4,0,faible
14,7,12.62,4,2,17,2,5,très faible
40,8,17.36,4,4,15,1,4,très faible
40,28,10.59,3,0,17,4,1,moyen
33,3,11.89,0,0,15,5,3,très faible
40,32,10.11,2,5,17,1,1,moyen
18,18,17.25,0,0,15,3,5,faible
15,10,13.69,5,0,3,3,0,très faible
26,25,13.89,0,1,3,4,2,moyen
27,12,14.94,8,3,3,3,0,faible
16,7,12.68,3,2,4,2,5,très faible
25,21,17.55,4,0,18,2,0,faible
36,32,18.27,2,1,4,0,0,fort
24,4,12.47,10,4,14,5,3,très faible
12,0,18.47,5,4,6,1,5,très faible
21,15,10.42,4,1,14,2,2,faible
13,8,12.38,4,0,7,4,3,très faible
35,26,19.42,1,1,3,4,4,moyen
12,6,15.26,5,0,8,0,0,très faible
40,21,17.34,3,0,20,3,4,faible
20,2,16.37,8,0,15,4,0,très faible
23,22,10.13,1,0,18,2,5,faible
25,10,19.36,8,2,13,3,2,faible
11,8,18.28,3,0,0,1,4,très faible
14,12,14.81,1,0,3,3,0,très faible
13,7,19.26,3,2,18,1,1,très faible
20,2,17.96,7,2,7,1,0,très faible
28,15,17.0,8,4,8,3,2,faible
29,22,11.46,0,2,7,3,3,moyen
32,12,13.43,6,4,10,2,3,très faible
28,26,15.17,1,0,10,0,5,moyen
24,23,11.24,1,0,13,2,5,faible
32,19,15.55,7,1,15,0,5,faible
36,2,16.18,3,5,14,5,2,très faible
20,15,19.13,5,0,9,1,2,faible
17,12,11.2,2,3,0,0,3,très faible
11,1,14.93,9,0,14,5,1,très faible
16,10,19.51,1,0,18,5,3,très faible
26,16,15.27,3,0,6,6,2,moyen
11,9,13.86,0,2,8,1,0,très faible
23,11,15.53,8,1,9,5,5,faible
20,15,16.84,1,3,10,5,4,faible
36,34,13.5,0,0,2,5,3,très fort
37,2,15.57,8,3,11,2,2,très faible
34,11,13.77,4,4,13,4,0,très faible
18,1,18.19,7,1,11,5,1,très faible
27,0,13.78,2,1,0,1,2,très faible
12,12,14.28,0,0,10,4,1,très faible
32,28,18.26,4,0,20,2,1,moyen
17,5,10.19,2,5,8,6,3,très faible
35,30,11.77,2,1,11,3,2,fort
33,3,16.99,9,1,10,5,1,très faible
16,6,19.46,10,0,7,4,3,très faible
36,2,13.17,7,4,18,1,4,très faible
37,4,12.76,6,1,9,2,3,très faible
16,3,12.97,5,0,3,4,5,très faible
33,16,13.38,8,2,5,4,0,faible
33,12,13.4,1,5,6,5,1,très faible
40,24,17.53,5,0,15,4,0,moyen
11,7,19.51,3,0,19,3,1,très faible
13,13,10.72,0,0,7,3,1,très faible
24,1,12.8,2,4,13,5,3,très faible
26,1,12.88,2,3,2,0,2,très faible
37,35,11.28,2,0,3,0,1,fort
34,22,14.75,2,4,15,2,2,moyen
34,27,12.1,3,3,5,4,5,moyen
28,4,17.13,0,2,18,0,0,très faible
16,14,13.96,2,0,18,5,4,très faible
36,4,19.18,8,5,0,5,3,très faible
13,11,19.46,1,1,14,0,2,très faible
28,1,10.59,8,2,13,0,5,très faible
40,32,12.17,4,4,14,1,4,moyen
25,11,19.84,1,2,17,4,3,faible
11,4,18.14,1,2,4,3,2,très faible
32,15,14.82,6,3,10,5,0,faible
26,6,12.66,8,2,8,2,4,très faible
27,20,13.36,6,1,7,3,4,moyen
19,6,14.29,2,3,15,1,3,très faible
15,10,19.9,1,3,14,3,2,très faible
25,1,12.08,3,3,19,0,3,très faible
32,11,10.4,6,5,5,3,1,très faible
29,16,14.44,8,2,17,6,1,faible
15,9,15.89,3,1,13,0,4,très faible
13,3,15.97,0,4,5,1,4,très faible
38,3,18.75,2,2,13,4,5,très faible
32,0,12.25,1,1,11,4,1,très faible
14,6,10.06,0,1,4,2,0,très faible
27,8,13.68,0,5,0,2,2,très faible
13,0,17.71,5,0,20,1,3,très faible
24,18,17.16,2,1,5,5,5,faible
10,0,18.4,3,0,7,0,4,très faible
36,33,14.81,0,2,3,2,3,fort
15,12,11.7,2,0,2,1,3,très faible
26,17,18.78,9,0,3,5,0,moyen
12,0,14.08,10,2,15,6,5,très faible
29,1,11.66,9,0,20,2,4,très faible
19,12,19.09,6,0,17,4,0,faible
38,36,18.28,1,0,20,4,3,fort
34,31,19.87,3,0,8,5,2,moyen
28,14,18.64,10,4,5,1,0,faible
21,6,14.34,7,2,2,4,4,très faible
27,7,11.42,4,3,15,0,5,très faible
31,5,14.29,7,5,4,1,1,très faible
11,5,19.52,3,0,19,1,4,très faible
28,4,10.73,8,4,12,4,4,très faible
12,6,13.87,2,2,1,6,3,très faible
30,14,10.85,5,3,5,2,5,faible
14,13,13.85,1,0,10,0,5,très faible
24,17,17.48,5,2,20,4,3,faible
11,7,19.72,4,0,15,5,3,très faible
24,18,12.08,1,3,7,6,3,faible
38,11,13.86,6,2,18,5,1,très faible
39,1,12.52,4,4,16,5,3,très faible
37,3,15.9,2,3,20,1,4,très faible
21,18,12.89,2,0,5,3,1,faible
35,5,12.13,3,5,16,3,1,très faible
21,3,17.66,9,5,10,1,2,très faible
40,5,18.91,7,2,20,4,3,très faible
30,6,16.59,3,2,15,0,0,très faible
33,16,10.47,9,0,7,4,1,faible
29,15,15.87,10,2,9,4,4,faible
24,19,14.85,4,0,16,5,2,faible
27,8,11.46,2,3,17,1,3,très faible
11,8,16.3,0,2,20,2,4,très faible
22,9,16.4,3,2,10,0,3,faible
40,32,10.95,4,3,4,1,1,moyen
10,5,18.29,2,1,17,6,4,très faible
30,26,10.08,1,3,9,6,4,moyen
36,0,17.0,2,5,8,2,5,très faible
29,17,14.57,9,1,8,3,3,faible
19,11,17.26,5,3,3,4,4,faible
27,8,19.81,7,2,14,4,0,très faible
29,1,19.49,4,1,3,1,0,très faible
29,4,17.72,7,3,13,5,1,très faible
35,5,17.95,6,0,8,5,1,très faible
21,6,18.77,2,0,0,0,3,très faible
12,9,15.34,1,0,3,1,3,très faible
28,21,19.99,5,1,19,3,3,moyen
10,7,10.66,2,0,14,2,3,très faible
11,10,10.45,0,0,20,2,3,très faible
26,3,15.21,4,5,6,2,1,très faible
28,12,10.64,1,2,20,2,5,faible
36,26,14.21,0,4,5,4,1,moyen
34,15,14.25,9,4,15,3,0,faible
30,3,17.09,7,2,16,2,0,très faible
30,24,15.15,5,1,4,6,0,moyen
14,8,15.38,1,4,4,3,1,très faible
32,0,12.64,9,3,10,5,2,très faible
19,19,18.61,0,0,9,1,5,faible
27,12,16.07,0,5,0,2,4,faible
14,7,11.79,7,0,16,3,1,très faible
39,1,19.73,9,1,15,0,1,très faible
26,13,15.31,3,0,4,1,0,faible
39,8,10.71,3,3,3,5,4,très faible
32,23,11.84,6,3,20,3,3,moyen
33,0,14.21,0,0,1,3,0,très faible
16,2,13.15,4,0,20,0,1,très faible
31,26,19.52,1,4,1,3,1,moyen
14,0,10.7,6,1,16,2,0,très faible
20,10,16.16,1,5,20,5,4,faible
37,32,15.3,0,1,12,5,1,fort
15,5,19.66,5,0,12,3,5,très faible
27,3,12.92,9,2,0,6,2,très faible
35,16,15.28,3,0,9,6,3,faible
36,32,16.84,4,0,14,5,3,moyen
14,9,14.17,2,1,9,4,2,très faible
31,8,17.9,2,1,3,2,5,très faible
33,11,16.64,5,4,4,0,4,très faible
18,7,19.28,10,0,1,3,0,très faible
39,6,18.97,0,5,13,0,2,très faible
38,5,17.82,9,0,1,6,1,très faible
26,1,18.37,9,2,18,1,2,très faible
16,3,18.16,9,2,9,3,2,très faible
29,13,15.54,4,3,13,2,2,faible
12,8,17.98,0,3,7,5,4,très faible
24,14,18.02,0,4,18,2,4,faible
36,24,12.92,1,5,5,4,3,moyen
22,11,16.81,2,5,0,6,1,faible
14,4,17.03,3,5,9,4,3,très faible
10,9,14.46,0,1,15,6,4,très faible
27,27,19.05,0,0,7,6,4,moyen
32,16,17.22,8,4,16,2,5,faible
16,13,13.1,3,0,0,5,1,très faible
13,12,19.66,0,1,3,1,3,très faible
31,7,10.57,3,4,10,6,5,très faible
40,25,19.44,8,3,13,2,3,moyen
19,0,17.65,2,5,7,6,2,très faible
19,4,18.9,4,1,1,3,2,très faible
34,31,10.41,0,0,11,0,0,fort
22,12,15.3,6,0,5,3,1,faible
16,7,17.78,8,1,9,0,2,très faible
40,38,10.44,0,2,15,6,4,fort
15,11,18.22,1,0,15,6,2,très faible
21,2,18.91,7,1,15,2,0,très faible
11,3,17.28,4,2,11,4,3,très faible
38,19,10.28,4,4,15,6,2,faible
17,6,12.4,10,1,8,0,4,très faible
39,28,14.75,2,4,5,6,2,moyen
21,16,16.97,4,1,8,2,3,faible
20,8,11.1,0,2,18,6,0,faible
29,28,16.21,1,0,11,3,5,moyen
10,3,14.46,5,2,20,3,3,très faible
30,3,11.38,0,4,9,3,4,très faible
21,10,16.14,3,5,13,5,2,faible
14,11,15.2,1,2,12,0,1,très faible
25,3,17.26,8,4,16,0,3,très faible
11,8,19.58,1,2,5,0,4,très faible
32,12,15.66,4,2,10,3,0,très faible
35,22,16.18,8,3,15,0,3,moyen
38,37,13.45,1,0,12,4,0,fort
11,6,13.71,2,0,3,5,3,très faible
24,15,16.92,2,1,10,5,3,faible
15,6,13.99,7,2,0,2,4,très faible
40,26,16.24,8,5,3,6,2,moyen
29,26,10.92,2,0,17,3,2,moyen
15,4,19.95,3,2,16,4,0,très faible
28,6,19.39,7,2,5,5,1,très faible
29,13,15.96,7,0,0,3,5,faible
29,10,10.9,10,1,5,0,0,très faible
31,3,15.03,9,2,2,0,1,très faible
26,4,10.68,0,1,17,2,2,très faible
38,13,13.44,9,4,10,2,1,très faible
31,13,10.44,4,3,10,5,1,faible
13,9,11.47,2,0,11,5,3,très faible
13,8,18.37,2,2,6,1,2,très faible
26,13,10.21,1,5,2,4,5,faible
15,13,14.18,2,0,15,2,4,très faible
16,7,16.49,3,4,4,6,5,très faible
13,5,11.03,4,1,11,6,0,très faible
10,10,19.87,0,0,15,3,0,très faible
31,26,18.31,0,4,0,3,0,moyen
24,4,15.22,0,1,14,2,4,très faible
21,12,18.08,2,1,15,6,1,faible
28,17,16.77,5,2,0,2,5,moyen
32,12,10.14,7,2,12,5,2,très faible
40,31,15.24,7,1,2,1,3,moyen
17,4,18.57,3,3,19,3,2,très faible
24,14,16.35,1,5,8,0,2,faible
30,4,12.61,5,4,9,5,4,très faible
21,8,17.06,0,2,16,2,5,très faible
38,24,17.9,9,1,1,2,3,moyen
38,5,18.96,2,4,0,1,4,très faible
33,27,15.78,6,0,12,6,3,moyen
25,13,12.91,3,3,19,6,3,faible
17,17,18.99,0,0,4,0,3,très faible
23,5,18.5,5,1,10,0,0,très faible
